"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"theta","pm",0.177547379918619,0.0159895,0.095,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",244.541987895966
"theta","cb",0.177120677038299,0.0159895,0.095,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",244.541987895966
"theta","gr",0.191098365473047,0.01599,0.0750000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",244.541987895966
"beta","pm",0.0254901262432663,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",244.541987895966
"beta","cb",0.0266886513408835,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",244.541987895966
"beta","gr",0.0256535431432074,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",244.541987895966
"theta","pm",0.219764304190801,0.01592225,0.115,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",175.169064283371
"theta","cb",0.215347777947615,0.01592225,0.105,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",175.169064283371
"theta","gr",0.228064280471752,0.01565425,0.1,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",175.169064283371
"beta","pm",0.0330493383489951,0.004096,0.16,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",175.169064283371
"beta","cb",0.0315080548183748,0.004096,0.16,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",175.169064283371
"beta","gr",0.0388724319508608,0.004096,0.16,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",175.169064283371
"theta","pm",0.223225256100015,0.01586025,0.115,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",249.120502471924
"theta","cb",0.224526545963005,0.01586025,0.1,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",249.120502471924
"theta","gr",0.237197602859069,0.01581325,0.1,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",249.120502471924
"beta","pm",0.0320919278594789,0.00384,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",249.120502471924
"beta","cb",0.0307455654426747,0.00384,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",249.120502471924
"beta","gr",0.0378384399011023,0.00384,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",249.120502471924
"theta","pm",0.222130634014988,0.0159165,0.115,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",244.126649856567
"theta","cb",0.222828112931677,0.0159165,0.105,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",244.126649856567
"theta","gr",0.231938656290959,0.01587375,0.1,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",244.126649856567
"beta","pm",0.0316868432786559,0.003584,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",244.126649856567
"beta","cb",0.0302963093147408,0.003584,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",244.126649856567
"beta","gr",0.0362310693471034,0.003584,0.12,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",244.126649856567
"theta","pm",0.196435987661031,0.02002275,0.08,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",170.810518264771
"theta","cb",0.208251593694374,0.02002275,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",170.810518264771
"theta","gr",0.230716267010164,0.02000375,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",170.810518264771
"beta","pm",0.0371030227799634,0.0064,0.12,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",170.810518264771
"beta","cb",0.0368400607129108,0.0064,0.12,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",170.810518264771
"beta","gr",0.0441355261644529,0.0064,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",170.810518264771
"theta","pm",0.190792187515059,0.0192215,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",255.082618713379
"theta","cb",0.205864040220754,0.0192215,0.06,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",255.082618713379
"theta","gr",0.219512485457807,0.0192565,0.055,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",255.082618713379
"beta","pm",0.0373810134333744,0.0064,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",255.082618713379
"beta","cb",0.0372575147189652,0.0064,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",255.082618713379
"beta","gr",0.0445546425806177,0.0064,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",255.082618713379
"theta","pm",0.191685765679573,0.0199975,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",246.175928592682
"theta","cb",0.206418955280181,0.0199975,0.06,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",246.175928592682
"theta","gr",0.225996443995923,0.02005925,0.05,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",246.175928592682
"beta","pm",0.0366680644284675,0.00512,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",246.175928592682
"beta","cb",0.036475068569894,0.00512,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",246.175928592682
"beta","gr",0.0392751555879291,0.00512,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",246.175928592682
"theta","pm",0.862461585136878,0.044812,0.29,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"theta","cb",0.742862446075459,0.044812,0.25,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"theta","gr",0.744640344657242,0.044886,0.25,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"beta","pm",0.231957856955014,0.085632,0.28,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"beta","cb",0.23052344901021,0.085632,0.16,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"beta","gr",0.240230914424675,0.085376,0.24,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"lambda","pm",0.619405839195776,0.094848,1,66,"2pl","normal",100,25,0.5,1,"gaussian","success",56.9045634269714
"theta","pm",0.854083828357592,0.045408,0.29,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"theta","cb",0.734441444855245,0.045408,0.25,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"theta","gr",0.737899125235917,0.045422,0.25,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"beta","pm",0.227267242920997,0.086528,0.28,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"beta","cb",0.223799997729789,0.086528,0.16,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"beta","gr",0.226965152707674,0.085888,0.24,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"lambda","pm",0.606797088270215,0.099456,1,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",105.444066286087
"theta","pm",0.854882426831458,0.044176,0.29,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"theta","cb",0.732911586521277,0.044176,0.25,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"theta","gr",0.737151918389446,0.043942,0.25,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"beta","pm",0.236706269524715,0.084608,0.28,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"beta","cb",0.236156824424439,0.084608,0.16,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"beta","gr",0.225219391787111,0.083968,0.24,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"lambda","pm",0.621849510154417,0.091904,1,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",107.480686664581
"theta","pm",0.753823166822468,0.034734,0.32,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"theta","cb",0.650010089385602,0.034734,0.28,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"theta","gr",0.664347182825927,0.034804,0.27,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"beta","pm",0.132586990731242,0.038272,0.36,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"beta","cb",0.113455280645021,0.038272,0.32,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"beta","gr",0.129862249710154,0.040704,0.28,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"lambda","pm",0.877372330406296,0.087424,0.92,66,"2pl","normal",100,25,0.5,2,"gaussian","success",58.6449282169342
"theta","pm",0.747163935020092,0.034788,0.32,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"theta","cb",0.644885238875909,0.034788,0.27,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"theta","gr",0.663652944189714,0.034668,0.27,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"beta","pm",0.138801151340434,0.042368,0.36,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"beta","cb",0.119259201691692,0.042368,0.28,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"beta","gr",0.14383283058637,0.04608,0.28,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"lambda","pm",0.844624253693032,0.086016,0.92,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",110.021934747696
"theta","pm",0.74857499649157,0.034822,0.31,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"theta","cb",0.645199699467983,0.034822,0.28,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"theta","gr",0.663349719974772,0.034854,0.26,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"beta","pm",0.137018630798819,0.038144,0.32,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"beta","cb",0.117368066262631,0.038144,0.32,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"beta","gr",0.135598924226289,0.040064,0.28,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"lambda","pm",0.860481750829037,0.08448,0.92,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",110.278977394104
"theta","pm",0.748342327224225,0.07436,0.28,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
"theta","cb",0.687679969751981,0.07436,0.21,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
"theta","gr",0.691179481425496,0.074594,0.2,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
"beta","pm",0.144045986229378,0.028416,0.24,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
"beta","cb",0.126564545770627,0.028416,0.16,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
