"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"theta","gr",0.173492842963375,0.01168,0.2,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
"beta","pm",0.249954077815691,0.01728,0.32,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
"beta","cb",0.368255458734421,0.01728,0.4,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
"beta","gr",0.406738314467798,0.01728,0.24,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
"lambda","pm",0.256770471894562,0.080256,0.4,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
"theta","pm",0.140288254011324,0.011504,0.22,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
"theta","cb",0.172536689485799,0.011504,0.24,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
"theta","gr",0.166503140156839,0.011472,0.18,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
"beta","pm",0.261636229515901,0.018176,0.32,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
"beta","cb",0.385597023668684,0.018176,0.4,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
"beta","gr",0.419649867988092,0.015616,0.24,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
"lambda","pm",0.255218440426383,0.081536,0.44,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",92.0822784900665
