"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"theta","pm",0.332680100201455,0.03181,0.15,8,"rasch","normal",100,25,0.7,1,"gaussian","success",92.9714365005493
"theta","cb",0.298916199877167,0.03181,0.11,8,"rasch","normal",100,25,0.7,1,"gaussian","success",92.9714365005493
"theta","gr",0.297964557750162,0.03208,0.1,8,"rasch","normal",100,25,0.7,1,"gaussian","success",92.9714365005493
"beta","pm",0.234702383009429,0.011392,0.16,8,"rasch","normal",100,25,0.7,1,"gaussian","success",92.9714365005493
"beta","cb",0.219642432498706,0.011392,0.16,8,"rasch","normal",100,25,0.7,1,"gaussian","success",92.9714365005493
"beta","gr",0.266664688964315,0.011392,0.16,8,"rasch","normal",100,25,0.7,1,"gaussian","success",92.9714365005493
"theta","pm",0.321358213072046,0.032912,0.15,8,"rasch","normal",100,25,0.7,1,"dp_broad","success",152.101118087769
"theta","cb",0.294127116597369,0.032912,0.11,8,"rasch","normal",100,25,0.7,1,"dp_broad","success",152.101118087769
"theta","gr",0.304054505657619,0.033014,0.1,8,"rasch","normal",100,25,0.7,1,"dp_broad","success",152.101118087769
"beta","pm",0.226015349427516,0.011648,0.16,8,"rasch","normal",100,25,0.7,1,"dp_broad","success",152.101118087769
"beta","cb",0.211440279228819,0.011648,0.16,8,"rasch","normal",100,25,0.7,1,"dp_broad","success",152.101118087769
"beta","gr",0.259420042918209,0.011648,0.16,8,"rasch","normal",100,25,0.7,1,"dp_broad","success",152.101118087769
"theta","pm",0.319763245676889,0.032286,0.17,8,"rasch","normal",100,25,0.7,1,"dp_focused","success",149.388329744339
"theta","cb",0.291760385197824,0.032286,0.12,8,"rasch","normal",100,25,0.7,1,"dp_focused","success",149.388329744339
"theta","gr",0.287439659658754,0.031888,0.1,8,"rasch","normal",100,25,0.7,1,"dp_focused","success",149.388329744339
"beta","pm",0.226081656551996,0.011904,0.16,8,"rasch","normal",100,25,0.7,1,"dp_focused","success",149.388329744339
"beta","cb",0.211308637278395,0.011904,0.16,8,"rasch","normal",100,25,0.7,1,"dp_focused","success",149.388329744339
"beta","gr",0.242869839213308,0.011008,0.16,8,"rasch","normal",100,25,0.7,1,"dp_focused","success",149.388329744339
"theta","pm",0.334583563392812,0.029206,0.19,8,"rasch","normal",100,25,0.7,2,"gaussian","success",120.998612642288
"theta","cb",0.302189979725177,0.029206,0.15,8,"rasch","normal",100,25,0.7,2,"gaussian","success",120.998612642288
"theta","gr",0.302439703313957,0.02865,0.15,8,"rasch","normal",100,25,0.7,2,"gaussian","success",120.998612642288
"beta","pm",0.252553636621206,0.006272,0.16,8,"rasch","normal",100,25,0.7,2,"gaussian","success",120.998612642288
"beta","cb",0.234292184293411,0.006272,0.16,8,"rasch","normal",100,25,0.7,2,"gaussian","success",120.998612642288
"beta","gr",0.270670363948056,0.006272,0.16,8,"rasch","normal",100,25,0.7,2,"gaussian","success",120.998612642288
"theta","pm",0.327358486177481,0.03014,0.18,8,"rasch","normal",100,25,0.7,2,"dp_broad","success",146.981815099716
"theta","cb",0.299566445477374,0.03014,0.15,8,"rasch","normal",100,25,0.7,2,"dp_broad","success",146.981815099716
"theta","gr",0.307076565408089,0.030132,0.14,8,"rasch","normal",100,25,0.7,2,"dp_broad","success",146.981815099716
"beta","pm",0.248504074388048,0.006528,0.16,8,"rasch","normal",100,25,0.7,2,"dp_broad","success",146.981815099716
"beta","cb",0.230560558126831,0.006528,0.16,8,"rasch","normal",100,25,0.7,2,"dp_broad","success",146.981815099716
"beta","gr",0.267194547934454,0.006784,0.16,8,"rasch","normal",100,25,0.7,2,"dp_broad","success",146.981815099716
"theta","pm",0.326441320105824,0.028418,0.18,8,"rasch","normal",100,25,0.7,2,"dp_focused","success",117.615988492966
"theta","cb",0.298907099609403,0.028418,0.14,8,"rasch","normal",100,25,0.7,2,"dp_focused","success",117.615988492966
"theta","gr",0.308801806613113,0.028734,0.14,8,"rasch","normal",100,25,0.7,2,"dp_focused","success",117.615988492966
"beta","pm",0.248418270706747,0.006016,0.16,8,"rasch","normal",100,25,0.7,2,"dp_focused","success",117.615988492966
