"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"beta","cb",0.230596410437945,0.006016,0.16,8,"rasch","normal",100,25,0.7,2,"dp_focused","success",117.615988492966
"beta","gr",0.267164231140492,0.006016,0.16,8,"rasch","normal",100,25,0.7,2,"dp_focused","success",117.615988492966
"theta","pm",0.338910068754569,0.034996,0.18,8,"rasch","normal",100,25,0.7,3,"gaussian","success",128.240433454514
"theta","cb",0.310396025497993,0.034996,0.13,8,"rasch","normal",100,25,0.7,3,"gaussian","success",128.240433454514
"theta","gr",0.315001243240755,0.034958,0.12,8,"rasch","normal",100,25,0.7,3,"gaussian","success",128.240433454514
"beta","pm",0.238129303326249,0.011008,0.16,8,"rasch","normal",100,25,0.7,3,"gaussian","success",128.240433454514
"beta","cb",0.220202912542937,0.011008,0.16,8,"rasch","normal",100,25,0.7,3,"gaussian","success",128.240433454514
"beta","gr",0.256981999372145,0.011008,0.16,8,"rasch","normal",100,25,0.7,3,"gaussian","success",128.240433454514
"theta","pm",0.332823693049973,0.033346,0.18,8,"rasch","normal",100,25,0.7,3,"dp_broad","success",111.456891298294
"theta","cb",0.306700741475881,0.033346,0.12,8,"rasch","normal",100,25,0.7,3,"dp_broad","success",111.456891298294
"theta","gr",0.303243209003047,0.033258,0.12,8,"rasch","normal",100,25,0.7,3,"dp_broad","success",111.456891298294
"beta","pm",0.237921203831715,0.01088,0.16,8,"rasch","normal",100,25,0.7,3,"dp_broad","success",111.456891298294
"beta","cb",0.21986938473402,0.01088,0.16,8,"rasch","normal",100,25,0.7,3,"dp_broad","success",111.456891298294
"beta","gr",0.257197386095751,0.01088,0.16,8,"rasch","normal",100,25,0.7,3,"dp_broad","success",111.456891298294
"theta","pm",0.330631656583456,0.033082,0.18,8,"rasch","normal",100,25,0.7,3,"dp_focused","success",136.957208395004
"theta","cb",0.306558631514987,0.033082,0.13,8,"rasch","normal",100,25,0.7,3,"dp_focused","success",136.957208395004
"theta","gr",0.309037977162953,0.033542,0.12,8,"rasch","normal",100,25,0.7,3,"dp_focused","success",136.957208395004
"beta","pm",0.234616578820552,0.01088,0.16,8,"rasch","normal",100,25,0.7,3,"dp_focused","success",136.957208395004
"beta","cb",0.216516657284534,0.01088,0.16,8,"rasch","normal",100,25,0.7,3,"dp_focused","success",136.957208395004
"beta","gr",0.253622825685129,0.01088,0.16,8,"rasch","normal",100,25,0.7,3,"dp_focused","success",136.957208395004
"theta","pm",0.180130059047518,0.0159235,0.1,34,"rasch","bimodal",200,25,0.8,1,"gaussian","success",194.636615037918
"theta","cb",0.175980096248392,0.0159235,0.095,34,"rasch","bimodal",200,25,0.8,1,"gaussian","success",194.636615037918
"theta","gr",0.189577420170126,0.0159175,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"gaussian","success",194.636615037918
"beta","pm",0.0253616070353434,0.004864,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"gaussian","success",194.636615037918
"beta","cb",0.0264674754787149,0.004864,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"gaussian","success",194.636615037918
"beta","gr",0.0254752090742176,0.004864,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"gaussian","success",194.636615037918
"theta","pm",0.177569187318779,0.01630675,0.095,34,"rasch","bimodal",200,25,0.8,1,"dp_broad","success",231.542150974274
"theta","cb",0.178560651882595,0.01630675,0.095,34,"rasch","bimodal",200,25,0.8,1,"dp_broad","success",231.542150974274
"theta","gr",0.193043403426206,0.016286,0.0750000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_broad","success",231.542150974274
"beta","pm",0.0258911082758297,0.004736,0.12,34,"rasch","bimodal",200,25,0.8,1,"dp_broad","success",231.542150974274
"beta","cb",0.0271677365527012,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_broad","success",231.542150974274
"beta","gr",0.0259879301630586,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_broad","success",231.542150974274
"theta","pm",0.177585466252478,0.01589,0.095,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",224.220005750656
"theta","cb",0.177249421967789,0.01589,0.095,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",224.220005750656
"theta","gr",0.191785415947195,0.01586475,0.0750000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",224.220005750656
"beta","pm",0.0257869008182934,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",224.220005750656
"beta","cb",0.0270056715541827,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",224.220005750656
"beta","gr",0.0258226013553771,0.004736,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,1,"dp_focused","success",224.220005750656
"theta","pm",0.219661154216294,0.01587725,0.115,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",181.586271047592
"theta","cb",0.214804358611707,0.01587725,0.11,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",181.586271047592
"theta","gr",0.227167520999193,0.01594275,0.1,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",181.586271047592
"beta","pm",0.0323726229874036,0.003328,0.16,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",181.586271047592
"beta","cb",0.030854981680514,0.003328,0.16,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",181.586271047592
"beta","gr",0.0359455092053494,0.003328,0.16,34,"rasch","bimodal",200,25,0.8,2,"gaussian","success",181.586271047592
"theta","pm",0.219847006344258,0.01571275,0.115,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",258.71210026741
"theta","cb",0.220265558557198,0.01571275,0.11,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",258.71210026741
"theta","gr",0.233969336242824,0.0157355,0.1,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",258.71210026741
"beta","pm",0.0316872834595609,0.003456,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",258.71210026741
"beta","cb",0.0302494648374574,0.003456,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",258.71210026741
"beta","gr",0.0352337326759031,0.0032,0.12,34,"rasch","bimodal",200,25,0.8,2,"dp_broad","success",258.71210026741
"theta","pm",0.219326603392282,0.015154,0.12,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",236.637553215027
"theta","cb",0.218535687461566,0.015154,0.11,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",236.637553215027
"theta","gr",0.226220152702187,0.01515375,0.1,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",236.637553215027
"beta","pm",0.0316710782983354,0.00384,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",236.637553215027
"beta","cb",0.0301940513468126,0.00384,0.16,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",236.637553215027
"beta","gr",0.0376342575906015,0.00384,0.12,34,"rasch","bimodal",200,25,0.8,2,"dp_focused","success",236.637553215027
"theta","pm",0.196522009377794,0.0200085,0.08,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",156.621324062347
"theta","cb",0.208137794715356,0.0200085,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",156.621324062347
"theta","gr",0.228368198088627,0.020073,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",156.621324062347
"beta","pm",0.0368401852264835,0.005376,0.12,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",156.621324062347
"beta","cb",0.0365232606803143,0.005376,0.12,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",156.621324062347
"beta","gr",0.0403959574594977,0.005376,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,3,"gaussian","success",156.621324062347
"theta","pm",0.191445293401274,0.01988425,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",232.509073972702
"theta","cb",0.20619176223329,0.01988425,0.06,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",232.509073972702
"theta","gr",0.22087636185198,0.019839,0.055,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",232.509073972702
"beta","pm",0.0374794398775983,0.00576,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",232.509073972702
"beta","cb",0.0373635294833712,0.00576,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",232.509073972702
"beta","gr",0.0416241851520688,0.00576,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_broad","success",232.509073972702
"theta","pm",0.191418254526107,0.019809,0.0650000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",244.766788244247
"theta","cb",0.205715206875969,0.019809,0.06,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",244.766788244247
"theta","gr",0.221839050120078,0.01984825,0.055,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",244.766788244247
"beta","pm",0.0370093526344086,0.0064,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",244.766788244247
"beta","cb",0.036819930761223,0.0064,0.12,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",244.766788244247
"beta","gr",0.0442883545091211,0.0064,0.0800000000000001,34,"rasch","bimodal",200,25,0.8,3,"dp_focused","success",244.766788244247
"theta","pm",0.862987240486508,0.044544,0.3,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"theta","cb",0.742083504599353,0.044544,0.25,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"theta","gr",0.742989805984479,0.044218,0.25,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"beta","pm",0.22362647025431,0.082816,0.28,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"beta","cb",0.221103901999912,0.082816,0.16,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"beta","gr",0.243921916633097,0.085376,0.24,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"lambda","pm",0.603669542938888,0.100736,1,66,"2pl","normal",100,25,0.5,1,"gaussian","success",39.0099453926086
"theta","pm",0.851239690531958,0.043932,0.29,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"theta","cb",0.730111421336125,0.043932,0.25,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"theta","gr",0.732992342710877,0.04364,0.25,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"beta","pm",0.230393188249181,0.086528,0.24,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"beta","cb",0.226647747620542,0.086528,0.16,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"beta","gr",0.228918126548167,0.085376,0.24,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"lambda","pm",0.619389983459653,0.095104,1,66,"2pl","normal",100,25,0.5,1,"dp_broad","success",60.0951869487762
"theta","pm",0.848401109482255,0.044748,0.29,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"theta","cb",0.727675561694077,0.044748,0.25,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"theta","gr",0.734971302555996,0.044916,0.25,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"beta","pm",0.231557289295957,0.08192,0.28,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"beta","cb",0.228846559904911,0.08192,0.16,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"beta","gr",0.218933635726814,0.08128,0.24,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"lambda","pm",0.613291569046265,0.106112,1,66,"2pl","normal",100,25,0.5,1,"dp_focused","success",78.7442615032196
"theta","pm",0.755420357899528,0.03521,0.33,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"theta","cb",0.651573039606164,0.03521,0.3,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"theta","gr",0.665241104114583,0.035098,0.27,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"beta","pm",0.135408312819958,0.038656,0.36,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"beta","cb",0.11662857657509,0.038656,0.32,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"beta","gr",0.132390124756969,0.039808,0.24,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"lambda","pm",0.843357225306578,0.092288,0.92,66,"2pl","normal",100,25,0.5,2,"gaussian","success",48.5437569618225
"theta","pm",0.749723603449488,0.035498,0.32,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"theta","cb",0.647534442263669,0.035498,0.28,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"theta","gr",0.665005446987463,0.03563,0.27,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"beta","pm",0.134783134763518,0.041472,0.36,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"beta","cb",0.117402449344176,0.041472,0.32,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"beta","gr",0.14012839796465,0.044416,0.28,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"lambda","pm",0.85428821295793,0.089344,0.92,66,"2pl","normal",100,25,0.5,2,"dp_broad","success",93.3124887943268
"theta","pm",0.744746208998486,0.035182,0.31,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"theta","cb",0.642201521672634,0.035182,0.28,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"theta","gr",0.662537777207553,0.035194,0.27,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"beta","pm",0.138285792082069,0.03968,0.36,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"beta","cb",0.120409630037138,0.03968,0.28,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"beta","gr",0.139761305870858,0.04288,0.28,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"lambda","pm",0.872179823086568,0.092672,0.92,66,"2pl","normal",100,25,0.5,2,"dp_focused","success",71.7171106338501
"theta","pm",0.748802193550235,0.073888,0.28,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"theta","cb",0.687710252354159,0.073888,0.22,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"theta","gr",0.689484838677633,0.073682,0.2,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"beta","pm",0.145235963719791,0.029184,0.24,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"beta","cb",0.128089558415582,0.029184,0.2,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"beta","gr",0.149629180487926,0.029184,0.2,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"lambda","pm",0.627736674939266,0.180992,1,66,"2pl","normal",100,25,0.5,3,"gaussian","success",51.6887829303741
"theta","pm",0.741681012808109,0.074268,0.28,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"theta","cb",0.68216554303738,0.074268,0.22,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"theta","gr",0.686150210800814,0.074234,0.2,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"beta","pm",0.141255904895681,0.029184,0.24,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"beta","cb",0.122182917070709,0.029184,0.2,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"beta","gr",0.147492374660718,0.029184,0.2,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"lambda","pm",0.627127382860401,0.180992,1,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",87.1943907737732
"theta","pm",0.739110277445741,0.074064,0.28,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"theta","cb",0.680516046747728,0.074064,0.22,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"theta","gr",0.688666841892876,0.074178,0.2,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"beta","pm",0.144073369746252,0.029696,0.28,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"beta","cb",0.122746524249158,0.029696,0.2,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"beta","gr",0.146413958564662,0.029568,0.2,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"lambda","pm",0.626999889513377,0.182272,1,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",63.0165946483612
"theta","pm",0.169608967817962,0.01008,0.16,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"theta","cb",0.22646537476736,0.01008,0.2,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"theta","gr",0.237318769875483,0.01008,0.16,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"beta","pm",0.240843561644065,0.022272,0.28,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"beta","cb",0.32188937532134,0.022272,0.28,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"beta","gr",0.3103546086548,0.022912,0.24,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"lambda","pm",0.297311182723278,0.106752,0.36,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",41.2965414524078
"theta","pm",0.192061229553479,0.010224,0.16,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"theta","cb",0.266829309504195,0.010224,0.2,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"theta","gr",0.259692251012276,0.010048,0.16,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"beta","pm",0.240210179607389,0.0224,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"beta","cb",0.320941363644693,0.0224,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"beta","gr",0.311003033837399,0.02304,0.24,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"lambda","pm",0.291592764050799,0.101504,0.4,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",64.2205078601837
"theta","pm",0.197379586914145,0.010016,0.18,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"theta","cb",0.270898830418387,0.010016,0.2,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"theta","gr",0.262248773476831,0.010016,0.18,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"beta","pm",0.242082456283788,0.022272,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"beta","cb",0.324870362752316,0.022272,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"beta","gr",0.315126903966487,0.022272,0.24,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"lambda","pm",0.2962972068464,0.103936,0.4,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",59.6956460475922
"theta","pm",0.464393703135858,0.017328,0.2,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"theta","cb",0.575549881205617,0.017328,0.2,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"theta","gr",0.534670482894907,0.017056,0.18,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"beta","pm",0.340431501318041,0.016384,0.28,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"beta","cb",0.442057588710803,0.016384,0.28,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"beta","gr",0.435287709824097,0.016128,0.24,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"lambda","pm",0.350301662130363,0.092928,0.4,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",36.9682800769806
"theta","pm",0.523349825979252,0.01752,0.26,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"theta","cb",0.655383494144746,0.01752,0.26,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"theta","gr",0.6018639736454,0.017312,0.2,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"beta","pm",0.334971432676039,0.014848,0.28,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"beta","cb",0.436377525275371,0.014848,0.28,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"beta","gr",0.433708696207238,0.015744,0.24,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"lambda","pm",0.34989154582908,0.085248,0.4,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",59.4300570487976
"theta","pm",0.521137549666568,0.016832,0.24,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"theta","cb",0.652906405404682,0.016832,0.26,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"theta","gr",0.597664406820331,0.016832,0.22,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"beta","pm",0.340231024714922,0.014848,0.28,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"beta","cb",0.445519472406565,0.014848,0.32,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"beta","gr",0.436371866357138,0.015616,0.24,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"lambda","pm",0.346004998440884,0.084352,0.4,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",67.7009835243225
"theta","pm",0.128816260710957,0.011648,0.22,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"theta","cb",0.155299750936839,0.011648,0.22,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"theta","gr",0.154661950560006,0.011792,0.18,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"beta","pm",0.250449307302308,0.018944,0.32,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"beta","cb",0.375710448571195,0.018944,0.4,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"beta","gr",0.420550325422811,0.018304,0.24,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"lambda","pm",0.245232406183916,0.072576,0.44,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",38.494044303894
"theta","pm",0.134500721449723,0.011744,0.22,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
"theta","cb",0.166190755908661,0.011744,0.22,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
"theta","gr",0.161991104215169,0.011744,0.18,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
"beta","pm",0.24567775500405,0.0192,0.32,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
